MULTILINESTRING ((-73.93245651729796 40.86335763654777, -73.93243112746747 40.863492730274054, -73.93242372721363 40.86363048286934, -73.93243484421636 40.863768814514444, -73.93246445349796 40.86390557121789, -73.93251195357425 40.86403863736324, -73.93257620662051 40.86416608521583));MARGARET CORBIN DRIVE;5
MULTILINESTRING ((-73.9840763605006 40.74910212512281, -73.98715269912415 40.75039244186918));WEST 35 STREET;2
MULTILINESTRING ((-73.92775575471985 40.86527108607587, -73.92726915137295 40.8655345589847));BROADWAY;3
MULTILINESTRING ((-73.91105789121964 40.87196455389115, -73.91111853873325 40.87212054813909, -73.91119832603081 40.87227298124039, -73.91129660347768 40.872419826557035, -73.91141223484003 40.87255920385025, -73.91154366844215 40.87268938834402, -73.91168896072537 40.87280893231317));9 AVENUE;5
MULTILINESTRING ((-73.9112271229989 40.87165546630075, -73.91105789121964 40.87196455389115));9 AVENUE;5
MULTILINESTRING ((-74.00825772575094 40.739375929180824, -74.00967995872185 40.7393795438196));GANSEVOORT STREET;1
MULTILINESTRING ((-74.00473658244671 40.747928354205555, -74.00702312871799 40.74889021220686));WEST 23 STREET;2
MULTILINESTRING ((-73.93523183493288 40.827048987479905, -73.93523494548343 40.82708079742742, -73.93523860850328 40.827112572565625, -73.93524282399767 40.827144308392, -73.93524759197344 40.827175998602996, -73.93525290887942 40.827207638694055, -73.93525877709334 40.82723922236302, -73.93526519424954 40.827270745105984, -73.93527354371156 40.827307177533434, -73.93527933344997 40.82734389578159, -73.93528254459369 40.827380796283144, -73.93528316894256 40.82741777367585, -73.93528120540748 40.82745472440211, -73.93527665764309 40.82749154310592, -73.93526954115723 40.82752812623872));ADAM CLAYTON POWELL JR BOULEVARD;3
MULTILINESTRING ((-73.99458454705126 40.71369042096996, -73.9944356085774 40.713705249777476));EAST BROADWAY;2
MULTILINESTRING ((-73.93575820477362 40.827632856957784, -73.93559360460178 40.82765254002397, -73.93552579756017 40.82766064261178, -73.93545434936829 40.82765948602956, -73.93538341628427 40.82764061694808, -73.93532405863328 40.82760558141877, -73.935318177259 40.827597226926144));MACOMBS PLACE;4
MULTILINESTRING ((-74.01303586691387 40.717254759362795, -74.01315944497195 40.717311193776695));CHAMBERS STREET;3
MULTILINESTRING ((-73.93515201437721 40.82835546411825, -73.93514722821632 40.82836306881067, -73.93511813588134 40.828436190670125, -73.93510408504831 40.828511833368516, -73.93510530361223 40.828587331573544));HARLEM RIVER DRIVE;4
MULTILINESTRING ((-74.01577987224805 40.70773621036177, -74.01589242648716 40.707788755914756));WEST THAMES STREET;3
MULTILINESTRING ((-74.01352773723535 40.71526285514118, -74.01369053606538 40.71528892458012, -74.01369112309472 40.71528901816341));MURRAY STREET;3
MULTILINESTRING ((-74.01678105271938 40.713998119317026, -74.01638618424158 40.71452062983553));NORTH END AVENUE;3
MULTILINESTRING ((-74.01638618424158 40.71452062983553, -74.01636205748123 40.714552554559575));NORTH END AVENUE;3
MULTILINESTRING ((-74.01678105271938 40.713998119317026, -74.01638618424158 40.71452062983553));NORTH END AVENUE;3
MULTILINESTRING ((-74.01678105271938 40.713998119317026, -74.01638618424158 40.71452062983553));NORTH END AVENUE;3
MULTILINESTRING ((-73.98678379224005 40.72129757402744, -73.98634091776387 40.72213729609623));ESSEX STREET;2
